TYPE,CONTENT,DESCRIPTION,IS_COLLAPSED,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
note,"**2026 m. sausio 5 d.** LMT **planuoja** skelbti [**Lietuvos–Taivano kvietimą**](https://lmt.lrv.lt/lt/naujienos/planuojamas-kvietimas-teikti-paraiskas-bendriems-lietuvostaivano-moksliniu-tyrimu-projektams-vykdyti-cDY/?fbclid=IwY2xjawObjMBleHRuA2FlbQIxMABicmlkETB4b1dNY2tITHRWOVlnUkgyc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHkqlLagPEJXTUB2xC8bUI3YxIO5UD382WSIrzVVL3Krheh3pS3ENda_Bg5M4_aem_tw8NqRLxCX9hUsNgbUebzg ""https://lmt.lrv.lt/lt/naujienos/planuojamas-kvietimas-teikti-paraiskas-bendriems-lietuvostaivano-moksliniu-tyrimu-projektams-vykdyti-cDY/?fbclid=IwY2xjawObjMBleHRuA2FlbQIxMABicmlkETB4b1dNY2tITHRWOVlnUkgyc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHkqlLagPEJXTUB2xC8bUI3YxIO5UD382WSIrzVVL3Krheh3pS3ENda_Bg5M4_aem_tw8NqRLxCX9hUsNgbUebzg"") bendriems mokslinių tyrimų projektams vykdyti.

**Kvietimo temos:**

Biomedicinos technologijos (genomo redagavimo įrankiai, vėžio moksliniai tyrimai, įskaitant diagnostiką, gydymą, prevenciją ir sveikatos priežiūrą; kompiuterinė medicina (angl. computational medicine).

**Projektų** **trukmė**: 24 mėnesiai.

**Biudžetas**: iki 200 tūkst. Eur. Lietuvos vykdytojams",,,,,Danutė (43831156),,2025-12-15T12:42:00.808000Z,,,,,,
task,Pateikta paraiška TSTI dėl planuojamos doktorantūros (Hugui),,,4,1,Danutė (43831156),,,,Europe/Vilnius,,,,
note,Pateikta paraiška yra čia: \\\filesrv\Projects\Projektai\1_TEIKIAM PARAISKAS\119_Hugo doktorantūra,,,,,Danutė (43831156),,2025-12-30T15:14:19.592000Z,,,,,,
,,,,,,,,,,,,,,
section,PENDING,,False,,,,,,,,,,,
task,Juodraštinė Europos Horizonto 2026-2027 m. darbo programa,"The European Commission has published the **draft Horizon Europe Work Programmes for 2026‑2027**. These drafts give advance insight into upcoming calls and priorities — not yet final, but very useful for planning ahead!

Available draft Work programmes:

 **Cluster 1 - Health:** [https://ec.europa.eu/transparency/comitology-register/screen/documents/107970/3/consult?lang=en](https://ec.europa.eu/transparency/comitology-register/screen/documents/107970/3/consult?lang=en ""https://ec.europa.eu/transparency/comitology-register/screen/documents/107970/3/consult?lang=en"")

**Cluster 4 - Digital Industy and Space:** [https://ec.europa.eu/transparency/comitology-register/screen/documents/107987/3/consult?lang=en](https://ec.europa.eu/transparency/comitology-register/screen/documents/107987/3/consult?lang=en ""https://ec.europa.eu/transparency/comitology-register/screen/documents/107987/3/consult?lang=en"")

**EU Missions:** [https://ec.europa.eu/transparency/comitology-register/screen/documents/107712/3/consult?lang=en](https://ec.europa.eu/transparency/comitology-register/screen/documents/107712/3/consult?lang=en ""https://ec.europa.eu/transparency/comitology-register/screen/documents/107712/3/consult?lang=en"")

 **Widening participation and strengthening the European Research Area (WIDERA):** [https://ec.europa.eu/transparency/comitology-register/screen/documents/107927/3/consult?lang=en](https://ec.europa.eu/transparency/comitology-register/screen/documents/107927/3/consult?lang=en ""https://ec.europa.eu/transparency/comitology-register/screen/documents/107927/3/consult?lang=en"")

 **Joint Research Centre - 2025–2027 work programme has already been published:** [https://publications.jrc.ec.europa.eu/repository/handle/JRC140049](https://publications.jrc.ec.europa.eu/repository/handle/JRC140049 ""https://publications.jrc.ec.europa.eu/repository/handle/jrc140049"")

 **European Innovation Council (EIC) and European Innovation Ecosystems (EIE):** [https://ec.europa.eu/transparency/comitology-register/screen/meetings/CMTD%282025%291015/consult?la…](https://ec.europa.eu/transparency/comitology-register/screen/meetings/CMTD%282025%291015/consult?lang=en ""https://ec.europa.eu/transparency/comitology-register/screen/meetings/cmtd%282025%291015/consult?lang=en"")

 **Research Infrastructures:** [https://ec.europa.eu/transparency/comitology-register/screen/documents/109463/1/consult?lang=en](https://ec.europa.eu/transparency/comitology-register/screen/documents/109463/1/consult?lang=en ""https://ec.europa.eu/transparency/comitology-register/screen/documents/109463/1/consult?lang=en"")

 **European Research Council (ERC) - 2026 work programme has already been published:** [https://ec.europa.eu/info/funding-tenders/opportunities/docs/2021-2027/horizon/wp-call/2026/wp_hori…](https://ec.europa.eu/info/funding-tenders/opportunities/docs/2021-2027/horizon/wp-call/2026/wp_horizon-erc-2026_en.pdf ""https://ec.europa.eu/info/funding-tenders/opportunities/docs/2021-2027/horizon/wp-call/2026/wp_horizon-erc-2026_en.pdf"")

 Please note that these drafts are provisional and may be subject to change. The topics, their descriptions or scope, as well as the budgets or call opening and closing dates, may be adjusted before final approval.",,4,1,Danutė (43831156),,,,Europe/Vilnius,,,,
task,"Įvertinti ""HORIZON-MISS-2027-02-CANCER-01: Leveraging functional genomics to reveal novel targets for cancer treatment""",,,4,2,Danutė (43831156),,,,Europe/Vilnius,,,,
note,"Planuojamas kvietimas apie navikų heterogeniškumą [Microsoft Word - HORIZON-MISS-2026-2027_07_04_2025.TC](https://sciencebusiness.net/sites/default/files/inline-files/HORIZON-MISS-2026-2027_04_07_2025.pdf?utm_source=chatgpt.com)

Expected Outcome: Proposals under this topic should aim to deliver results that are directed and tailored towards and contribute to all of the following expected outcomes: 1) Researchers and health professionals have an increased understanding on the functional effects of tumour heterogeneity during the initiation and evolution of the disease. 2) Researchers, health professionals and innovators have access to improved knowledge and tools for the discovery and development of the next generation of genomically informed cancer treatments. 3) Researchers, innovators, and professionals from different disciplines and sectors support and contribute to the UNCAN.eu research data platform by ensuring interoperability of data, access to new digital tools and models.",,,,,Danutė (43831156),,2025-09-22T11:46:08.109000Z,,,,,,
task,Rotomskio iniciatyva,"Skambino Mantas Grigalavicius 064444494

VU 20% inasas",,4,1,Arvydas (43613934),,,,Europe/Vilnius,,,,
note,panasu kad neliko.,,,,,Arvydas (43613934),,2025-07-30T06:30:19.424000Z,,,,,,
task,**Kvietimas „Stiprinti inovacijų ekosistemas mokslo centruose“**,"**Kvietimas „Stiprinti inovacijų ekosistemas mokslo centruose“** 

PFSA dar nepatvirtintas:  [https://e-seimas.lrs.lt/portal/legalAct/lt/TAP/2a57cf9172aa11f09f35d7a7964762ee](https://e-seimas.lrs.lt/portal/legalAct/lt/TAP/2a57cf9172aa11f09f35d7a7964762ee ""https://e-seimas.lrs.lt/portal/legalAct/lt/TAP/2a57cf9172aa11f09f35d7a7964762ee"")",,4,1,Danutė (43831156),,,,Europe/Vilnius,,,,
note,"Kvietimas turėtų pasirodyti greičiausiai šią savaitę.

IT palaikymo išlaidos nėra tinkamos išlaidos, bet  tinkamos g.b. “16.3.2. turimo ilgalaikio turto atnaujinimo ir (arba) modifikavimo išlaidos“, t.y. būtų galima pirkti HALO AP atnaujinimo (naujos versijos) paslaugas. Didžiausia projektui galima skirti finansavimo lėšų suma – iki 300 000,00 Eur EGADP lėšų. Pareiškėjo prašoma finansuoti išlaidų suma (be PVM) negali būti didesnė nei pagal susietojo projekto paraišką planuota gauti EK dotacija. Trūkumas - paraiška t.b. susieta su programų „Europos horizontas“ ar „Euratomas“ projektų moksliniais tyrimais ir eksperimentine plėtra.",,,,,Danutė (43831156),,2025-09-23T06:03:11.361000Z,,,,,,
task,"Kvietimas ""Europos Personalizuotos medicinos partnerystė (EP PerMed)""","Kvietimas susijęs su inovatyviais mokslo tiriamaisiais projektais personalizuotos medicinos srityje

- Finansuojami projektai, kuriuose fokusuojamasi į multimodalinių duomenų panaudojimą pateikiant efektyvesnes ir labiau personalizuotas polimorbidinių pacientų gydymo strategijas (turi būti įtrauktos ir analizuojamos bent 2 lėtinės ligos).
- Yra privaloma, kad tarp daugiašalio konsorciumo partnerių būtų bent vienas klinikinis partneris ir bent viena smulki-vidutinė įmonė (SME) arba industrijos partneris.
- Kiti projekto tikslai ir aspektai nurodyti išankstiniame skelbime apie priemonę:  [Multimodal Data Approaches for Personalised Medicine (MultiPMData2026)](https://www.eppermed.eu/funding-projects/calls/ritc2026/).
- Dalyvaujančių šalių sąrašas ( *pažymėtos šalys dar nepateikusios galutinio apsisprendimo dalyvauti): Belgium, Czech Republic, Finland, France, Ireland*, Israel, Italy, Latvia, Lithuania, Portugal, Romania*, Slovak Republic, South Africa*, Spain, Sweden and Turkiye.
- Kvietimą paskelbs 2025 spalio 1 d.
- Kvietimas įgyvendinamas dviem stadijom – iki 2026 sausio 12 teikiama trumpoji paraiška, o patekus į antrą etapą iki 2026 balandžio 27 teikiama ilgoji paraiška. 2025 spalio 28 dieną organizuojama **info diena** pristatyti kvietimui ir jo sąlygoms. Registracija į info dieną [šioje nuorodoje](https://registration.dlr-pt.de/en/ep-permed-ritc2026-information-day/registration).
- Turi dalyvauti partneriai iš bent 3 skirtingų kvietime dalyvaujančių šalių. Finansavimas Lietuvos įmonėms t.b. didesnis nei įprastai skiria LMT.",,4,1,Danutė (43831156),,,,Europe/Vilnius,,,,
note,Spalio 1 d. paskelbs kvietimą apie multimodalinių duomenų panaudojimą testuojant inovatyvius sprendimus realioje aplinkoje gydant bent 2 lėtines ligas. Reikia įtraukti mažą ar vidutinę verslo įmonę.,,,,,Danutė (43831156),,2025-09-23T07:03:03.797000Z,,,,,,
task,EIC Pathfinder Challenges (genAI in Cancer),[EIC Pathfinder Challenges (genAI in Cancer)](onenote:https://ltvpc-my.sharepoint.com/personal/lauar_ltvpc_onmicrosoft_com/Documents/Portfolio/PROPOSAL.one#EIC%20Pathfinder%20Challenges%20(genAI%20in%20Cancer)&section-id={2EF55473-2D4D-4E1C-88B5-C1BA09FFB437}&page-id={B60D4129-7A8A-4399-942E-A38393219233}&end)  ([Web view](https://ltvpc-my.sharepoint.com/personal/lauar_ltvpc_onmicrosoft_com/_layouts/OneNote.aspx?id=%2Fpersonal%2Flauar_ltvpc_onmicrosoft_com%2FDocuments%2FPortfolio&wd=target%28PROPOSAL.one%7C2EF55473-2D4D-4E1C-88B5-C1BA09FFB437%2FEIC%20Pathfinder%20Challenges%20%28genAI%20in%20Cancer%5C%29%7CB60D4129-7A8A-4399-942E-A38393219233%2F%29)),,2,1,Arvydas (43613934),,yesterday,en,Europe/Vilnius,,,2025-04-30,en
note,EIC 2026 m. darbo programos juodraštinė versija: [Microsoft Word - EIC Work Programme 2026_second_draft_version04062025 clean](https://sciencebusiness.net/sites/default/files/inline-files/EIC%20Work%20Programme%202026_second_draft_version04062025.pdf),,,,,Danutė (43831156),,2025-09-23T10:33:24.259000Z,,,,,,
note,"EIC Pathfinder (EIC Open) deadline 06/05/2026

EIC Pathfinder (EIC Challenges) deadline 28/10/2026",,,,,Danutė (43831156),,2025-09-23T10:56:06.563000Z,,,,,,
,,,,,,,,,,,,,,
section,FUNDED STARTING,,False,,,,,,,,,,,
section,ACTIVE,,False,,,,,,,,,,,
task,PPM LMT 2024-2027 @PROJECT,"[Network • Co-Intell / F2 • Kumu](https://kumu.io/arvylau/network#co-intell/ppm4ml)

[PPMTest](onenote:https://santariskes-my.sharepoint.com/personal/arvydas_laurinavicius_santa_lt/Documents/PPMTest/)  ([Web view](https://santariskes-my.sharepoint.com/personal/arvydas_laurinavicius_santa_lt/_layouts/Doc.aspx?sourcedoc=%7bD4A4E6AC-452D-48B8-8204-0C9136D5A48F%7d&end=\(\)&end))

**The Aim** of the study is to assess the potential of PPM imaging for ML-based tissue pathology biomarkers.

**Objective 1**. Explore and optimize tissue processing/data extraction approaches by PPM imaging for informative ML algorithms.

**Objective 2**. Explore diagnostic and clinical utility of PPM-based computational biomarkers in tissue pathology.

The expected outputs of the study will contribute to the rapidly advancing domain of computational pathology with affordable and unique modality of polarized microscopy which enables vectorial data on collagen microarchitecture to supplement clinical models of tissue microenvironment.

**Objective 1**. 

Multiple combinations of tissue processing, imaging and analytical techniques will be explored to establish most informative and robust data extraction and processing pathways. Formalin fixed paraffin embedded (FFPE) tissue techniques, routinely used in pathology labs, will form the basis of the experiments to ensure broad applicability of the techniques to be developed. Along with unstained (label-free) FFPE sections, various histochemistry screening methods will be tested for the informative value and signal-to-noise ratio of the tissue components be represented. Further, the PPM-extracted data will be verified by immunofluorescence (IF) and/or immunohistochemistry (IHC) labeling techniques as well as combined brightfield/PPM/fluorescence protocols will be tested for specific tissue component assessment tasks. Performance of PPM imaging with reference to SHG microscopy will be assessed (in collaboration with prof. Virginijus Barzda). Both single PPM-extracted signals and combined (multimodal) imaging data will be tested by image processing and ML algorithms to generate informative and reproducible computational signatures of tissue components, with primary focus on normal, fibrotic, neoplastic, and peri-neoplastic collagen architecture. In addition, pathologic substances like amyloid, hyaline, will be explored.  The image-generated data will be processed with multivariate/spatial analysis methods, DL neural networks and other ML methods.

**Activity 1.1 Months 1-24.**

Calibrate PPM imaging equipment to further streamline and automate experimental tissue and image processing workflow.

Various regimes of PPM imaging settings will be tested to optimize signal-to-noise ratio and reproducibility, also taking into account the impact of tissue specimen preparation variance such as section thickness, slide cover-slipping, etc.

Next, a series of experiments testing various tissue staining techniques and their combinations will be tested for their interactions with the PPM imaging to explore light absorbance and other possible effects.

Benefits and drawbacks of combining PPM imaging with IF and IHC will be assessed.

Where needed, IF and/or IHC will be used as a reference method to verify the PPM-generated signals, also producing labels for ML algorithms.

On the other hand, potential synergies of the PPM and other staining/imaging techniques will be sought for innovative research and clinical applications.

**Objective 2.**

Selected PPM-based biomarker candidates will be assessed for their diagnostic and clinical value in retrospective patient cohorts with renal cell carcinoma and non-neoplastic kidney pathology. This will allow to cover a broad spectrum of microarchitectural collagen patterns in the context of diverse pathologic conditions and their interfaces.

**Activity 2.1 Months 25-36.**

Selected tissue processing/PPM protocols will be used to generate digital data from microscopy sections from patients (at least 250) with neoplastic and non-neoplastic kidney pathology. Primary focus will be on tumor-associated collagen signatures, especially in the tumor-host interface area, as well as fibrotic transformations in the non-neoplastic renal tissue. Segmentation of kidney structures will be applied for specific sampling of the PPM data. Potential diagnostic and predictive value of the novel indicators will be assessed in the context of clinical and pathology data available.

In addition, the annexes include the project implementation plan (Annex 1), the project risk and risk management plan (Annex 2), and a description of the project's main equipment and data resources (Annex 3).

 **Objective 1**.  **Activity 1.1 Months 1-24.**

OUTPUT 1.1.1. An expert document representing a procedure manual for optimized PPM-imaging settings applied for various tissue processing and staining techniques, their expected imaging and data processing results. This output is important for quality assurance and reproducibility of the applications.

OUTPUT 1.1.2 Digitized research object (a sample dataset of at least 40 FFPE samples processed with PPM technology). This will include a library of experimental digital signatures of various tissue components including visual representation and description of the analysis results. The output will focus on candidate methods for research and clinical applications.

OUTPUT 1.1.3. Two peer-reviewed research articles in Clarivate Analytics Web of Science (CA WOS) journals accepted for publication (experimental methods and potential applications based on PPM). The results will represent novel opportunities of PPM imaging for tissue pathology assessment.

OUTPUT 1. 1.4 Two oral or poster presentations in international meetings.

**Objective 2. Activity 2.1 Months 25-36.**

OUTPUT 2.1.1 One peer-reviewed research article in CA WOS journals accepted for publication (PPM-biomarkers for kidney pathology).

OUTPUT 2.1.2 Two oral or poster presentations in international meetings.",,1,1,Danutė (43831156),Arvydas (43613934),tomorrow,en,Europe/Vilnius,,,,
note,"LMT **pratęsė paraiškų teikimo terminą** iki sausio 31 d. 24 val.

Nauji pateikimo vidiniam derinimui ir tvirtinimui VU terminai:

- paraiškas pirminei peržiūrai ir biudžeto suderinimui atsiųsti iki **sausio 19 d.**
- paraiškas tvirtinimui pateikti iki **sausio 29 d.** imtinai.",,,,,Danutė (43831156),,2024-01-03T07:58:38.843000Z,,,,,,
note,Paraiška pateikta,,,,,Danutė (43831156),,2024-02-13T15:24:34.199000Z,,,,,,
note,"Paraiška ""praėjo"" administracinę patikrą",,,,,Danutė (43831156),,2024-04-03T06:31:46.263000Z,,,,,,
note,"1. Paraiška gavo finansavimą.
2. 2024 m. biudžetas patvirtintas
3. Paraiška išversta į LT kalbą ir pateikta LMT administruojančiam asmeniui Rasai Rrimeišytei",,,,,Danutė (43831156),,2024-08-21T06:33:22.181000Z,,,,,,
note,"LMT atsiųs sutartį pasirašyti el. parašu iki rugsėjo 1 d. (kol kas greitai siųsti dar neplanuoja). Be sutarties pradėti darbinimo procedūras būtų negerai, bet galima darbinti ne nuo rugsėjo 1 d., o keliomis dienomis vėliau.",,,,,Danutė (43831156),,2024-08-21T13:31:25.503000Z,,,,,,
note,"1)     2024-09-02 d. pasirašyta projekto finansavimo sutartis Nr. S-MIP-24-64

2)     Pradėti darbuotojų darbinimai.

3)     Reikia apgalvoti koks asmuo galėtų dirbti vietoj Simono",,,,,Danutė (43831156),,2024-09-04T06:13:50.233000Z,,,,,,
note,"1\.      Įdarbinti: Arvydas, Aida ir Riauka.

2\.      Michael 2024 m. darbinsim tik 2 mėnesiams (lapkritį/gruodį), nes jo DU kiekvieną mėnesį būtų mažesnis nei patvirtinta MMA ir tektų mokėti didesnius mokesčius Sodrai.

3\.      Benoit. VU finansų skyriui pateikiau Sodros išaiškinimus, kad jį kaip pensininką galima būtų darbinti kiekvieną mėnesį ir neturėtų kilti problemų dėl Sodros mokesčių. VU teigia: ""Jeigu atsirastų Sodros grindys, jas tektų padengti, nes projekte tam nėra numatyta lėšų."" Gal darbinti Benoit nuo lapkričio ir tuo pačiu paprašyti, kad Benoit atsiųstų laisvos formos informaciją, kad jis gauna senatvės pensiją Prancūzijoje. Tai leistų pasiruošti 2025 metams ir patikrinti kaip Sodra vertina šią info, o papildomų Sodros mokesčių mokėti vis tiek nereiktų.

4\.      Emilija keičiama Vilhelmu. Bus daromas sutarties keitimas, siunčiami raštai, paprašyta Vilhelmo pateikti reikiamus dokumentus.

5\.      Simonas. Pagal reikalavimus, reiks gauti jo raštišką sutikimą, kad jis atsisako dalyvauti projekte. Turit kontaktus? Atlikti sutarties keitimus. Įdarbinti naują žmogų ir lėšas panaudoti šiai metais lėšas. Laiko nedaug. Reikia aptarti galimas kandidatūras.",,,,,Danutė (43831156),,2024-09-18T08:44:36.052000Z,,,,,,
note,"1. Parengti dokumentai finansavimo sutarties keitimui, gauti atsistatydinimo prašymai. 2. Gautas LMT pritarimas, finansavimo sutartis pakeista. 3. Simono lėšos perkeltos Riaukai, Emilijos lėšos - Vilhelmui. 4. Pasirašytos darbo sutartys su Benoit, Vilhelmu, baiginėjama pasirašyti susitarimo keitimą su Riauka dėl krūvio padidinimo. 5. Shribak įdarbinimo dokumentai per Avilio sistemą pateikti ir VU Personalo skyriaus sustabdyti, nes Personalo skyriui nepakanka pateiktos ID kortelės/vairuotojų teisių. Shribak nesutinka pateikti savo paso. Į komunikaciją įtrauktas VU personalo skyrius, Arvydas.",,,,,Danutė (43831156),,2024-12-04T07:35:14.785000Z,,,,,,
note,"Įdarbintas Shribak. Atliktos kalibravimo taikinio viešojo pirkimo procedūros, prekė iš užsienio pristatyta.",,,,,Danutė (43831156),,2025-11-14T14:20:58.347000Z,,,,,,
note,lesu pirkiniams siemet nebeliko?,,,,,Arvydas (43613934),,2025-11-19T06:52:26.783000Z,,,,,,
note,Inicijuoti paskutiniai įdarbinimai ir reagentų pirkimai (CD20),,,,,Danutė (43831156),,2025-11-26T07:38:18.332000Z,,,,,,
note,Įvykdytas paskutinis pirkimas (gauta sąskaita).,,,,,Danutė (43831156),,2025-12-03T07:26:06.773000Z,,,,,,
task,OUTPUT 1.1.1. An expert document,,,4,2,Arvydas (43613934),,tomorrow,en,Europe/Vilnius,,,2026-08-31,en
